Delta,I,J_Q_L,J_Q_R,P1,P_el,V,abs_C,min_eig,theta_R
0.13333333333333333,0.055909262021726,0.07401409006864512,-0.040468532855609377,0.36094479621290343,0.0335455572130356,-0.6,0.03404816650683081,0.06326655762108385,2.617993877991494
0.21666666666666667,0.0551006742410983,0.07373547666495074,-0.04067507212029166,0.3615743889492313,0.03306040454465898,-0.6,0.03151963891390703,0.07056822031395105,2.617993877991494
0.3,0.05408073487534844,0.07312940367252503,-0.040680962747315974,0.36302097275789086,0.032448440925209064,-0.6,0.02877046195264457,0.07888087619388703,2.617993877991494
0.3833333333333333,0.05281241482859274,0.07213981256505345,-0.04045236366789786,0.36539839804999213,0.03168744889715564,-0.6,0.025812735566844377,0.08832571972079314,2.617993877991494
0.4666666666666666,0.051256833311769834,0.07070597657921207,-0.03995187659215017,0.36882769435187485,0.030754099987061898,-0.6,0.022663110409151713,0.09902933683395719,2.617993877991494
0.55,0.0493753380647808,0.06876550248699884,-0.0391402996481307,0.37343421556629774,0.029625202838868478,-0.6,0.019343049742358964,0.11112098975766643,2.617993877991494
0.6333333333333333,0.04713187956138611,0.06625812859056465,-0.037979000853733215,0.3793439687582745,0.028279127736831666,-0.6,0.01587916609363441,0.12472896656558831,2.617993877991494
0.7166666666666667,0.04449563008719075,0.06313026855371279,-0.03643289050139834,0.38667908139877916,0.02669737805231445,-0.6,0.012303588946796392,0.1399758523996228,2.617993877991494
0.8,0.041443773482594315,0.05934019208663283,-0.034473927997076076,0.39555240935950053,0.024866264089556587,-0.6,0.008654273605760817,0.15697242378694895,2.617993877991494
0.05,0.04754335326161843,0.06207295887305905,-0.033546946916088005,0.36155788377329073,0.02852601195697106,-0.6,0.01878552874060724,0.054215172481627424,2.8797932657906435
0.13333333333333333,0.04726237335279406,0.06215480004735967,-0.03379737603568321,0.36205103164849606,0.028357424011676437,-0.6,0.01749695345619743,0.06159945395835564,2.8797932657906435
0.21666666666666667,0.0467545677037185,0.06194196369972195,-0.033889223077490836,0.3634742987297015,0.028052740622231096,-0.6,0.01607159324793028,0.07013929812171385,2.8797932657906435
0.3,0.04600550490845363,0.0614140325159577,-0.03381072957088536,0.3659507817219448,0.027603302945072176,-0.6,0.014509806422220987,0.07999258167219296,2.8797932657906435
0.3833333333333333,0.0449977615955859,0.060548903674654486,-0.03355024671730289,0.36961496777686165,0.026998656957351538,-0.6,0.012814862536800073,0.09132812871773688,2.8797932657906435
0.4666666666666666,0.04371181033620464,0.059323840822559704,-0.03309675462083675,0.3746104633569015,0.02622708620172278,-0.6,0.010993543650434283,0.10432255489464103,2.8797932657906435
0.55,0.04212724292029224,0.05771705439547897,-0.03244070864330368,0.3810864318796957,0.025276345752175345,-0.6,0.009056852547714945,0.11915551030502732,2.8797932657906435
0.6333333333333333,0.040224346358436525,0.05570983577816772,-0.03157522796310576,0.3891925105143741,0.024134607815061913,-0.6,0.007020786285132192,0.1360030357283763,2.8797932657906435
0.7166666666666667,0.03798602787189945,0.053289231291832925,-0.030497614568693335,0.3990720389263964,0.022791616723139667,-0.6,0.004907084462486551,0.1550287693641434,2.8797932657906435
0.8,0.03540004303231378,0.05045117100807325,-0.029211145188684944,0.41085356342247514,0.021240025819388268,-0.6,0.002743806637297496,0.17637245415018463,2.8797932657906435
0.05,0.04448602773507809,0.058014837157654764,-0.031323220516607825,0.36173517169779823,0.026691616641046856,-0.6,8.883707903071566e-18,0.05333274206054031,3.141592653589793
0.13333333333333333,0.044341760672826316,0.05814926488043205,-0.03154420847673621,0.3624307267942115,0.02660505640369579,-0.6,8.257983593812106e-18,0.06106287034840508,3.141592653589793
0.21666666666666667,0.04395787218651882,0.05799081653434017,-0.031616093222428636,0.36413549747636753,0.026374723311911295,-0.6,7.564185911451634e-18,0.0700456848245363,3.141592653589793
0.3,0.04332809331322495,0.05753209304790251,-0.031535237059967317,0.366980012668075,0.02599685598793497,-0.6,6.801798996833568e-18,0.08045674467042165,3.141592653589793
0.3833333333333333,0.042443522432173766,0.056766355236107145,-0.031300241776802754,0.3711069391182898,0.02546611345930426,-0.6,5.9718131211296604e-18,0.0924840560757111,3.141592653589793
0.4666666666666666,0.041293136576753084,0.05568808361629801,-0.03091220167024626,0.3766686379111427,0.02477588194605185,-0.6,5.077115340246254e-18,0.10632431875058482,3.141592653589793
0.55,0.03986455994262014,0.054293809778014,-0.030375073812441984,0.3838232096648979,0.023918735965572084,-0.6,4.122949199689369e-18,0.12217719433231664,3.141592653589793
0.6333333333333333,0.03814511136236924,0.052583207174095835,-0.0296961403566742,0.39272873679701137,0.022887066817421545,-0.6,3.117414533465202e-18,0.14023725378507731,3.141592653589793
0.7166666666666667,0.03612314037065153,0.05056040379998145,-0.028886519577590513,0.4035355100962563,0.021673884222390916,-0.6,2.0719471431222493e-18,0.16068338777341223,3.141592653589793
0.8,0.03378963612046675,0.04823544301861392,-0.027961661346333773,0.41637619085822275,0.020273781672280052,-0.6,1.001682555863453e-18,0.18366570202234525,3.141592653589793
