Delta,I,J_Q_L,J_Q_R,P1,P_el,T_L,T_R,V,abs_C,epsilon,min_eig,mu_L,mu_R,p_L,p_R,positive,score,theta_R
0.1,0.21154479000320203,0.2786117531773138,-0.15168487917539264,0.336337846637766,0.1269268740019212,2.0,0.25,-0.6,0.03788424647656461,1.0,0.12160966422837813,-0.3,0.3,0.5,0.5,1,0.02525230446859589,1.4
0.05,0.19874274981530157,0.261303933822453,-0.142058283933272,0.34062576202705874,0.11924564988918093,2.0,0.25,-0.6,0.05087010624787925,1.0,0.11192822066847452,-0.3,0.3,0.7,0.7,1,0.025147461616832782,1.2
0.2,0.21060811185559009,0.28051855322272135,-0.1541536861093673,0.33479126048813845,0.12636486711335404,2.0,0.25,-0.6,0.03824583412255864,1.0,0.12207793310239663,-0.3,0.3,0.5,0.5,1,0.025132144854756417,1.4
0.1,0.19827113377871364,0.26354053154247814,-0.14457785127524994,0.3394142241511299,0.11896268026722817,2.0,0.25,-0.6,0.05134610836113805,1.0,0.11158040976385361,-0.3,0.3,0.7,0.7,1,0.02509916247887619,1.2
0.2,0.19744387651594394,0.26790078574765314,-0.14943445983808662,0.3369204371126314,0.11846632590956636,2.0,0.25,-0.6,0.052079514912977916,1.0,0.11090471496076565,-0.3,0.3,0.7,0.7,1,0.024992899750638967,1.2
0.2,0.22653402572797895,0.3070502144570555,-0.18623206740213358,0.33701936369747854,0.12081814705492211,2.0,0.25,-0.5333333333333333,0.04325601868438305,1.0,0.12514296886100426,-0.26666666666666666,0.26666666666666666,0.9,0.9,1,0.02459978267716988,0.6
0.1,0.22683203542701838,0.2974239593758489,-0.17644687381477228,0.3392171338938008,0.12097708556107646,2.0,0.25,-0.5333333333333333,0.04225509852732594,1.0,0.12733683214925862,-0.26666666666666666,0.26666666666666666,0.9,0.9,1,0.02459520155281423,0.6
0.05,0.22677130132746048,0.2923024399054463,-0.17135774586413388,0.34042902433270583,0.12094469404131225,2.0,0.25,-0.5333333333333333,0.0416206931064344,1.0,0.1284532931953823,-0.26666666666666666,0.26666666666666666,0.9,0.9,1,0.024559639540390643,0.6
0.2,0.23416817439637116,0.31229632488137926,-0.1874066318699813,0.33402413941545295,0.12488969301139795,2.0,0.25,-0.5333333333333333,0.034407752801103426,1.0,0.1323942625946308,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.024416150331307025,0.6
0.1,0.23543156960594483,0.3061427522015131,-0.18057924841167577,0.33381172145591326,0.12556350378983724,2.0,0.25,-0.5333333333333333,0.032745161993080606,1.0,0.13409320110365308,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.024367562248722,0.6
0.05,0.23575119661184318,0.3025995457462698,-0.17686557421995344,0.3340013626722227,0.12573397152631635,2.0,0.25,-0.5333333333333333,0.031830096774054024,1.0,0.1347723011539492,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.024310237988556502,0.6
0.1,0.22217865564205397,0.2885049856685573,-0.170009702659462,0.33566858647317765,0.11849528300909545,2.0,0.25,-0.5333333333333333,0.045063282296426505,1.0,0.12072725605894291,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.024266848874982597,0.9
0.2,0.23298998005516872,0.30490141472903276,-0.1806400920329428,0.3327271863261309,0.12426132269608998,2.0,0.25,-0.5333333333333333,0.034498513518478074,1.0,0.1315570218548081,-0.26666666666666666,0.26666666666666666,0.5,0.5,1,0.024264916974555146,0.9
0.2,0.22117160353097848,0.2940280753683319,-0.17606988681847685,0.33431484753053914,0.11795818854985518,2.0,0.25,-0.5333333333333333,0.04651125988751716,1.0,0.11965640172299537,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.02426022521899426,0.9
0.05,0.22258668581688887,0.28551534934721035,-0.16680245024486953,0.33644341405134015,0.11871289910234073,2.0,0.25,-0.5333333333333333,0.04423126142440587,1.0,0.12125704815151359,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.024251339396956093,0.9
0.1,0.23422250000933212,0.30172987683709007,-0.17681121016544635,0.3329871185885999,0.1249186666716438,2.0,0.25,-0.5333333333333333,0.0325865848627637,1.0,0.13261758411383906,-0.26666666666666666,0.26666666666666666,0.5,0.5,1,0.024201945991859857,0.9
0.2,0.19631056580363623,0.2726561098039062,-0.1548697703217246,0.35720684262742564,0.11778633948218173,2.0,0.3,-0.6,0.03926357267714237,1.0,0.13896333718339393,-0.3,0.3,0.9,0.9,1,0.024157786435159995,0.6
0.05,0.23467967001154327,0.2998224978993782,-0.17466000722655536,0.3332872915735917,0.1251624906728231,2.0,0.25,-0.5333333333333333,0.031560449403394066,1.0,0.1330291961103145,-0.26666666666666666,0.26666666666666666,0.5,0.5,1,0.02415090107683078,0.9
0.2,0.23940421339257947,0.31440054343776513,-0.1867182962950561,0.33336128959021216,0.12768224714270904,2.0,0.25,-0.5333333333333333,0.025926014618057335,1.0,0.14004001013120002,-0.26666666666666666,0.26666666666666666,0.5,0.5,1,0.02403975747559981,0.6
0.05,0.1871741918151586,0.24589400339393927,-0.13358948830484396,0.3423151887245113,0.11230451508909516,2.0,0.25,-0.6,0.0536710296179687,1.0,0.10498581498559345,-0.3,0.3,0.7,0.7,1,0.023996213684682032,1.4
0.2,0.20121295343853018,0.2752109900540828,-0.1544832179909647,0.356585446103375,0.1207277720631181,2.0,0.3,-0.6,0.03201969709054123,1.0,0.14543700693261222,-0.3,0.3,0.7,0.7,1,0.023994004325698894,0.6
0.1,0.24095259499546284,0.31086902003489053,-0.1823609693706437,0.3324830308930371,0.12850805066424684,2.0,0.25,-0.5333333333333333,0.023970771376242223,1.0,0.14227027885297,-0.26666666666666666,0.26666666666666666,0.5,0.5,1,0.0239605659177729,0.6
0.05,0.2046597996980316,0.26372221707153426,-0.15457032389925074,0.34627138518812856,0.10915189317228352,2.0,0.25,-0.5333333333333333,0.05873783069011861,1.0,0.11238948351745975,-0.26666666666666666,0.26666666666666666,0.9,0.9,1,0.023900162936224083,0.9
0.05,0.24136540698782602,0.308578201815699,-0.17984998475552522,0.3323879820502119,0.12872821706017387,2.0,0.25,-0.5333333333333333,0.02293864885452104,1.0,0.14302490155363679,-0.26666666666666666,0.26666666666666666,0.5,0.5,1,0.0238882821585075,0.6
0.05,0.22628323574335252,0.2888279295956356,-0.16814353719918085,0.33444628540560417,0.12068439239645468,2.0,0.25,-0.5333333333333333,0.03715259399544198,1.0,0.12407249689238613,-0.26666666666666666,0.26666666666666666,0.5,0.5,1,0.023882367300998013,1.2
0.1,0.18656785835684558,0.24757145648756038,-0.135630741473453,0.3409860476197237,0.11194071501410735,2.0,0.25,-0.6,0.053665721205242864,1.0,0.10499235763251537,-0.3,0.3,0.7,0.7,1,0.023880237990360962,1.4
0.1,0.22576737586424708,0.2902676877133337,-0.1698584205857353,0.33381640416080016,0.12040926712759845,2.0,0.25,-0.5333333333333333,0.03777173922828116,1.0,0.1240255072216283,-0.26666666666666666,0.26666666666666666,0.5,0.5,1,0.023872097666338635,1.2
0.1,0.20463337774862753,0.2681444673999109,-0.15900666593397605,0.3441764211788463,0.10913780146593467,2.0,0.25,-0.5333333333333333,0.05910446055052884,1.0,0.1112830600352872,-0.26666666666666666,0.26666666666666666,0.9,0.9,1,0.023871697805459977,0.9
0.1,0.19481649753699987,0.26194086325167565,-0.14505096472947593,0.3595905053562608,0.11688989852219991,2.0,0.3,-0.6,0.037450111004025594,1.0,0.1423451230918455,-0.3,0.3,0.9,0.9,1,0.023858380929717225,0.6
0.2,0.22474547294372182,0.292829899713101,-0.17296564747644935,0.3326195697793718,0.11986425223665163,2.0,0.25,-0.5333333333333333,0.038869917596763275,1.0,0.12387139497086526,-0.26666666666666666,0.26666666666666666,0.5,0.5,1,0.0238395335930517,1.2
0.2,0.20462643667973623,0.2769513964835856,-0.16781729692105965,0.3397516336485275,0.109134099562526,2.0,0.25,-0.5333333333333333,0.05947799912701154,1.0,0.10917201173422209,-0.26666666666666666,0.26666666666666666,0.9,0.9,1,0.023780000931494617,0.9
0.1,0.20109004937566072,0.2682238883250146,-0.14756985869961792,0.35635185313503104,0.12065402962539643,2.0,0.3,-0.6,0.02947730962806573,1.0,0.1486982704494097,-0.3,0.3,0.7,0.7,1,0.023710123854933728,0.6
0.2,0.19859777162384662,0.2665880650529854,-0.14742940207867755,0.35545396322663547,0.11915866297430797,2.0,0.3,-0.6,0.032299265682057675,1.0,0.14540103143216088,-0.3,0.3,0.5,0.5,1,0.023679367687276832,0.9
0.05,0.1938089412343804,0.256273125621887,-0.13998776088125872,0.3609383282873524,0.11628536474062823,2.0,0.3,-0.6,0.03640064493110221,1.0,0.14396352412437413,-0.3,0.3,0.9,0.9,1,0.02366713887366545,0.6
0.2,0.1855886492522106,0.25093453123307846,-0.1395813416817522,0.33816082633972566,0.11135318955132636,2.0,0.25,-0.6,0.05345643630259225,1.0,0.10500570320294936,-0.3,0.3,0.7,0.7,1,0.023655566045432126,1.4
0.2,0.18015254918752419,0.2053153792245107,-0.09722384971199609,0.40887693015825055,0.10809152951251451,2.0,0.25,-0.6,0.04071837600839659,0.75,0.16189344460423952,-0.3,0.3,0.9,0.9,1,0.023648630026863918,0.6
0.2,0.20460193367717633,0.275777021128418,-0.15301586092211233,0.3565451793978305,0.12276116020630579,2.0,0.3,-0.6,0.024817085027647387,1.0,0.15163753853531123,-0.3,0.3,0.5,0.5,1,0.023639624401058504,0.6
0.2,0.1893755059122369,0.25809020856753834,-0.14446490502019635,0.3559399771252376,0.11362530354734213,2.0,0.3,-0.6,0.04245065373586714,1.0,0.13508139015627116,-0.3,0.3,0.7,0.7,1,0.023579887389933347,0.9
0.05,0.2006726896393329,0.2642691684402643,-0.14386555465666473,0.3565678655489349,0.12040361378359973,2.0,0.3,-0.6,0.028111077708828817,1.0,0.14995992148115364,-0.3,0.3,0.7,0.7,1,0.023525977427152532,0.6
0.05,0.17170758502226682,0.22686063462424536,-0.12383608361088524,0.3513905904411692,0.1030245510133601,2.0,0.25,-0.6,0.06806466592946984,1.0,0.10042495487260647,-0.3,0.3,0.9,0.9,1,0.023513059844968473,1.2
0.1,0.19916886350493712,0.2632208103444964,-0.14371949224153405,0.3557226995547036,0.11950131810296227,2.0,0.3,-0.6,0.02943736817367084,1.0,0.14766918544055785,-0.3,0.3,0.5,0.5,1,0.02346226309607398,0.9
0.05,0.22013401721385084,0.28077702346319094,-0.16337221428247067,0.33531673015483593,0.11740480918072045,2.0,0.25,-0.5333333333333333,0.03896615025092464,1.0,0.11878369911922472,-0.26666666666666666,0.26666666666666666,0.5,0.5,1,0.023435458461214666,1.4
0.1,0.1714915601281629,0.2301751224385354,-0.12728018636163782,0.3489220975523903,0.10289493607689774,2.0,0.25,-0.6,0.06800695329818046,1.0,0.0995314074186553,-0.3,0.3,0.9,0.9,1,0.023410349738895175,1.2
0.1,0.18944238982948622,0.2523044511757398,-0.13863901727804812,0.35737311282150597,0.11366543389769172,2.0,0.3,-0.6,0.04008628204660858,1.0,0.13714516426589626,-0.3,0.3,0.7,0.7,1,0.023397293355010708,0.9
0.1,0.2051991572625697,0.27164186663216383,-0.14852237227462192,0.355584060986325,0.12311949435754183,2.0,0.3,-0.6,0.021958527406530308,1.0,0.15573921573191687,-0.3,0.3,0.5,0.5,1,0.023380906402404294,0.6
0.1,0.2195812207226719,0.2818947164678551,-0.16478473208242986,0.3345569973570476,0.11710998438542501,2.0,0.25,-0.5333333333333333,0.03915554443467889,1.0,0.11907506645423428,-0.26666666666666666,0.26666666666666666,0.5,0.5,1,0.02337385683471014,1.4
0.05,0.19927239640670147,0.26122652652330186,-0.1416630886792811,0.35604866100694255,0.11956343784402088,2.0,0.3,-0.6,0.027928515044868558,1.0,0.1485553956802326,-0.3,0.3,0.5,0.5,1,0.023328966921993356,0.9
0.05,0.20616819244162457,0.26420038188139766,-0.15424401257919756,0.33916394180502263,0.10995636930219976,2.0,0.25,-0.5333333333333333,0.0526519728527348,1.0,0.10915309334680089,-0.26666666666666666,0.26666666666666666,0.7,0.7,1,0.02331255637424359,1.2
0.05,0.1893532817234707,0.2491909066007206,-0.13557893756663816,0.3582121677448459,0.11361196903408242,2.0,0.3,-0.6,0.03878998333001708,1.0,0.13809440533382633,-0.3,0.3,0.7,0.7,1,0.02328278134816973,0.9
