Delta,Delta_over_gamma,P1,S_perp,T_L,T_R,T_R_over_T_L,V,abs_C,epsilon,gamma_L,gamma_R,gamma_R_over_L,min_eig,mu_L,mu_R,p_L,p_R,positive,scan,theta_R
0.1,0.1,0.5634263636171415,0.07249276607396679,1.5,0.4,,,0.036246383036983396,0.0,1.0,1.0,,0.24516521095555194,0.6,-0.6,0.5,0.5,1,grid,0.5428571428571429
0.1,0.1,0.5658969504308784,0.098110204169409,1.5,0.4,,,0.0490551020847045,0.0,1.0,1.0,,0.23378263406417904,0.6,-0.6,0.7,0.7,1,grid,0.5428571428571429
0.1,0.1,0.5715172149514859,0.1190624784410261,1.5,0.4,,,0.05953123922051305,0.0,1.0,1.0,,0.22589592926966565,0.6,-0.6,0.85,0.85,1,grid,0.5428571428571429
0.1,0.1,0.5858629169902617,0.13829476635064522,1.5,0.4,,,0.06914738317532261,0.0,1.0,1.0,,0.2210154899855124,0.6,-0.6,0.95,0.95,1,grid,0.5428571428571429
0.1,0.1,0.5640268753387114,0.08799202260395607,1.5,0.4,,,0.043996011301978034,0.0,1.0,1.0,,0.2379926842353472,0.6,-0.6,0.5,0.5,1,grid,0.6857142857142857
0.1,0.1,0.5677476594350452,0.12005268755038861,1.5,0.4,,,0.06002634377519431,0.0,1.0,1.0,,0.22372110824274494,0.6,-0.6,0.7,0.7,1,grid,0.6857142857142857
0.1,0.1,0.5755868052667749,0.14708749688256798,1.5,0.4,,,0.07354374844128399,0.0,1.0,1.0,,0.21424862163661457,0.6,-0.6,0.85,0.85,1,grid,0.6857142857142857
0.1,0.1,0.5924005938536019,0.17236051123902443,1.5,0.4,,,0.08618025561951222,0.0,1.0,1.0,,0.2088359531508246,0.6,-0.6,0.95,0.95,1,grid,0.6857142857142857
0.1,0.1,0.5647529565914823,0.1012014330981706,1.5,0.4,,,0.0506007165490853,0.0,1.0,1.0,,0.23103883097469288,0.6,-0.6,0.5,0.5,1,grid,0.8285714285714285
0.1,0.1,0.5698303795385858,0.13936720740546807,1.5,0.4,,,0.06968360370273403,0.0,1.0,1.0,,0.21411600027908723,0.6,-0.6,0.7,0.7,1,grid,0.8285714285714285
0.1,0.1,0.5796884360145769,0.17233158503526091,1.5,0.4,,,0.08616579251763046,0.0,1.0,1.0,,0.20319399360402857,0.6,-0.6,0.85,0.85,1,grid,0.8285714285714285
0.1,0.1,0.5976884241262301,0.20290260495505713,1.5,0.4,,,0.10145130247752857,0.0,1.0,1.0,,0.1972640159162079,0.6,-0.6,0.95,0.95,1,grid,0.8285714285714285
0.1,0.1,0.5655944294029868,0.11184280792103947,1.5,0.4,,,0.055921403960519735,0.0,1.0,1.0,,0.22444428068997427,0.6,-0.6,0.5,0.5,1,grid,0.9714285714285714
0.1,0.1,0.5720639988594527,0.15561286097507246,1.5,0.4,,,0.07780643048753623,0.0,1.0,1.0,,0.20506950892161552,0.6,-0.6,0.7,0.7,1,grid,0.9714285714285714
0.1,0.1,0.5836283955027477,0.19405968614528607,1.5,0.4,,,0.09702984307264303,0.0,1.0,1.0,,0.1927662626317493,0.6,-0.6,0.85,0.85,1,grid,0.9714285714285714
0.1,0.1,0.6019232663466272,0.2289560574880442,1.5,0.4,,,0.1144780287440221,0.0,1.0,1.0,,0.18625013495346784,0.6,-0.6,0.95,0.95,1,grid,0.9714285714285714
0.1,0.1,0.5665383182534484,0.11973091165265307,1.5,0.4,,,0.05986545582632653,0.0,1.0,1.0,,0.21829788459227775,0.6,-0.6,0.5,0.5,1,grid,1.1142857142857143
0.1,0.1,0.574376976658343,0.16842897994866135,1.5,0.4,,,0.08421448997433068,0.0,1.0,1.0,,0.19663966838986086,0.6,-0.6,0.7,0.7,1,grid,1.1142857142857143
0.1,0.1,0.5873030618635651,0.21165117292964336,1.5,0.4,,,0.10582558646482168,0.0,1.0,1.0,,0.18298442071663384,0.6,-0.6,0.85,0.85,1,grid,1.1142857142857143
0.1,0.1,0.6053495802345178,0.2498414502535614,1.5,0.4,,,0.1249207251267807,0.0,1.0,1.0,,0.1757827008358952,0.6,-0.6,0.95,0.95,1,grid,1.1142857142857143
0.1,0.1,0.5675687797002942,0.12477476105532441,1.5,0.4,,,0.062387380527662205,0.0,1.0,1.0,,0.21265680029207212,0.6,-0.6,0.5,0.5,1,grid,1.2571428571428571
0.1,0.1,0.5767092800071187,0.17755080699945222,1.5,0.4,,,0.08877540349972611,0.0,1.0,1.0,,0.18886053112887727,0.6,-0.6,0.7,0.7,1,grid,1.2571428571428571
0.1,0.1,0.5906706625780801,0.22463642462346722,1.5,0.4,,,0.11231821231173361,0.0,1.0,1.0,,0.17386485495463677,0.6,-0.6,0.85,0.85,1,grid,1.2571428571428571
0.1,0.1,0.6081745441264756,0.26510725365024884,1.5,0.4,,,0.13255362682512442,0.0,1.0,1.0,,0.16588234087947862,0.6,-0.6,0.95,0.95,1,grid,1.2571428571428571
0.1,0.1,0.5686671969873788,0.12697400414441645,1.5,0.4,,,0.06348700207220823,0.0,1.0,1.0,,0.20755524090541638,0.6,-0.6,0.5,0.5,1,grid,1.4
0.1,0.1,0.5790120777457827,0.18281876939321554,1.5,0.4,,,0.09140938469660777,0.0,1.0,1.0,,0.1817506359715778,0.6,-0.6,0.7,0.7,1,grid,1.4
0.1,0.1,0.593725649427908,0.23270892669634405,1.5,0.4,,,0.11635446334817202,0.0,1.0,1.0,,0.16542348901387974,0.6,-0.6,0.85,0.85,1,grid,1.4
